audio_file,duration_ms,segment_number,item_id,genero,fonologia,list,spl_exp,spa_sniy,que_ykuna
d_16b_seg4.wav,1137.85,4,item_32d,1.0,0.0,1,dim,,
d_16b_seg5.wav,884.42,5,item_32d,1.0,0.0,1,dim,,
d_16b_seg6.wav,872.65,6,item_32d,1.0,0.0,1,dim,,
d_16b_seg7.wav,1256.78,7,item_32d,1.0,0.0,1,dim,,
d_16b_seg8.wav,3820.54,8,item_32d,1.0,0.0,1,dim,,
d_17a_seg1.wav,5772.11,1,item_33d,1.0,0.0,1,dim,,
d_17a_seg2.wav,972.54,2,item_33d,1.0,0.0,1,dim,,
d_17a_seg3.wav,659.43,3,item_33d,1.0,0.0,1,dim,,
d_17a_seg4.wav,1091.16,4,item_33d,1.0,0.0,1,dim,,
d_17a_seg5.wav,811.22,5,item_33d,1.0,0.0,1,dim,,
d_17a_seg6.wav,815.99,6,item_33d,1.0,0.0,1,dim,,
d_17a_seg7.wav,1214.49,7,item_33d,1.0,0.0,1,dim,,
d_17a_seg8.wav,2428.98,8,item_33d,1.0,0.0,1,dim,,
d_18b_seg1.wav,5387.91,1,item_36d,0.0,1.0,1,dim,,
d_18b_seg2.wav,993.11,2,item_36d,0.0,1.0,1,dim,,
d_18b_seg3.wav,748.59,3,item_36d,0.0,1.0,1,dim,,
d_18b_seg4.wav,948.21,4,item_36d,0.0,1.0,1,dim,,
d_18b_seg5.wav,758.55,5,item_36d,0.0,1.0,1,dim,,
d_18b_seg6.wav,923.24,6,item_36d,0.0,1.0,1,dim,,
d_18b_seg7.wav,1232.65,7,item_36d,0.0,1.0,1,dim,,
d_18b_seg8.wav,2851.16,8,item_36d,0.0,1.0,1,dim,,
d_19a_seg1.wav,5963.56,1,item_37d,0.0,1.0,1,dim,,
d_19a_seg2.wav,918.98,2,item_37d,0.0,1.0,1,dim,,
d_19a_seg3.wav,735.19,3,item_37d,0.0,1.0,1,dim,,
d_19a_seg4.wav,1175.33,4,item_37d,0.0,1.0,1,dim,,
d_19a_seg5.wav,711.0,5,item_37d,0.0,1.0,1,dim,,
d_19a_seg6.wav,865.76,6,item_37d,0.0,1.0,1,dim,,
d_19a_seg7.wav,1160.82,7,item_37d,0.0,1.0,1,dim,,
d_19a_seg8.wav,2277.1,8,item_37d,0.0,1.0,1,dim,,
d_20b_seg1.wav,5821.07,1,item_40d,1.0,0.0,1,dim,,
d_20b_seg2.wav,989.64,2,item_40d,1.0,0.0,1,dim,,
d_20b_seg3.wav,770.32,3,item_40d,1.0,0.0,1,dim,,
d_20b_seg4.wav,920.09,4,item_40d,1.0,0.0,1,dim,,
d_20b_seg5.wav,732.88,5,item_40d,1.0,0.0,1,dim,,
d_20b_seg6.wav,877.3,6,item_40d,1.0,0.0,1,dim,,
d_20b_seg7.wav,1337.37,7,item_40d,1.0,0.0,1,dim,,
d_20b_seg8.wav,2058.25,8,item_40d,1.0,0.0,1,dim,,
d_21a_seg1.wav,5493.2,1,item_41d,1.0,0.0,1,dim,,
d_21a_seg2.wav,987.3,2,item_41d,1.0,0.0,1,dim,,
d_21a_seg3.wav,817.1,3,item_41d,1.0,0.0,1,dim,,
d_21a_seg4.wav,1072.4,4,item_41d,1.0,0.0,1,dim,,
d_21a_seg5.wav,777.37,5,item_41d,1.0,0.0,1,dim,,
d_21a_seg6.wav,964.6,6,item_41d,1.0,0.0,1,dim,,
d_21a_seg7.wav,1741.97,7,item_41d,1.0,0.0,1,dim,,
d_21a_seg8.wav,2746.3,8,item_41d,1.0,0.0,1,dim,,
d_22b_seg1.wav,6005.46,1,item_44d,0.0,1.0,1,dim,,
d_22b_seg2.wav,980.68,2,item_44d,0.0,1.0,1,dim,,
d_22b_seg3.wav,681.32,3,item_44d,0.0,1.0,1,dim,,
d_22b_seg4.wav,1047.78,4,item_44d,0.0,1.0,1,dim,,
d_22b_seg5.wav,836.15,5,item_44d,0.0,1.0,1,dim,,
d_22b_seg6.wav,991.0,6,item_44d,0.0,1.0,1,dim,,
